"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090276","BP","GO:0090276","regulation of peptide hormone secretion","14/479","264/28891",0.000147051632950735,0.0177883406598462,0.0146904139809598,"56508/15378/14683/15107/18096/75387/233079/20377/16971/74370/12289/17886/21844/13640",14
"GO:0071902","BP","GO:0071902","positive regulation of protein serine/threonine kinase activity","12/479","202/28891",0.000152098383069426,0.0177883406598462,0.0146904139809598,"13838/19130/76089/12444/19882/74370/26564/22418/66725/21844/14370/26403",12
"GO:0030073","BP","GO:0030073","insulin secretion","14/479","266/28891",0.000159056354189468,0.0177883406598462,0.0146904139809598,"56508/15378/14683/15107/18096/75387/233079/20377/16971/74370/12289/17886/21844/13640",14
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","17/479","368/28891",0.000160196821204565,0.0177883406598462,0.0146904139809598,"18128/14260/12540/230959/20377/12554/319480/104099/12817/16971/109711/17886/12053/208177/21844/13640/20411",17
"GO:0045745","BP","GO:0045745","positive regulation of G protein-coupled receptor signaling pathway","5/479","32/28891",0.000170714511423669,0.0177883406598462,0.0146904139809598,"117148/213053/17886/225642/11554",5
"GO:0030099","BP","GO:0030099","myeloid cell differentiation","20/479","480/28891",0.00017543538874827,0.0177883406598462,0.0146904139809598,"16331/11480/14683/24088/214133/723848/15402/20377/15900/22761/17268/80280/74370/109711/26564/110794/17886/223770/12053/14218",20
"GO:0032371","BP","GO:0032371","regulation of sterol transport","7/479","71/28891",0.00017555799115343,0.0177883406598462,0.0146904139809598,"20280/11813/18550/12623/67484/16971/19206",7
"GO:0032374","BP","GO:0032374","regulation of cholesterol transport","7/479","71/28891",0.00017555799115343,0.0177883406598462,0.0146904139809598,"20280/11813/18550/12623/67484/16971/19206",7
"GO:0002791","BP","GO:0002791","regulation of peptide secretion","14/479","269/28891",0.000178649045364309,0.0177883406598462,0.0146904139809598,"56508/15378/14683/15107/18096/75387/233079/20377/16971/74370/12289/17886/21844/13640",14
"GO:0021756","BP","GO:0021756","striatum development","4/479","18/28891",0.000189853264766609,0.0183284240364242,0.0151364391913987,"58208/67263/75409/58234",4
"GO:0090087","BP","GO:0090087","regulation of peptide transport","14/479","271/28891",0.000192838512100112,0.0183284240364242,0.0151364391913987,"56508/15378/14683/15107/18096/75387/233079/20377/16971/74370/12289/17886/21844/13640",14
"GO:0090101","BP","GO:0090101","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","10/479","149/28891",0.000200562030229518,0.0186388980093298,0.015392842600773,"18128/65112/20377/20660/58250/16971/114716/72183/22418/215001",10
"GO:0007265","BP","GO:0007265","Ras protein signal transduction","16/479","342/28891",0.000214975032551921,0.0195440344811333,0.0161403451213467,"18128/56508/76089/213498/12540/320292/319974/70527/12554/217944/12614/12053/21844/320484/260409/11554",16
"GO:0071900","BP","GO:0071900","regulation of protein serine/threonine kinase activity","16/479","343/28891",0.00022213388443814,0.0197651894621341,0.0163229848788698,"13838/63953/19130/76089/12444/20377/20660/19882/80280/74370/26564/22418/66725/21844/14370/26403",16
"GO:0007254","BP","GO:0007254","JNK cascade","11/479","181/28891",0.000233287887398812,0.0203252071896215,0.0167854727753399,"98432/63953/140577/12540/20377/66505/26564/17951/22418/66725/26403",11
"GO:1901888","BP","GO:1901888","regulation of cell junction assembly","13/479","246/28891",0.000259925283608141,0.0217360932755409,0.0179506461368395,"14260/76089/24088/320840/260305/19249/16373/16971/22418/75409/17886/208177/13640",13
"GO:0003209","BP","GO:0003209","cardiac atrium morphogenesis","5/479","35/28891",0.00026418510848932,0.0217360932755409,0.0179506461368395,"19130/18128/228788/22761/22418",5
"GO:0033120","BP","GO:0033120","positive regulation of RNA splicing","6/479","54/28891",0.000265074308238303,0.0217360932755409,0.0179506461368395,"11758/22722/56541/20462/108013/73713",6
"GO:0072073","BP","GO:0072073","kidney epithelium development","10/479","155/28891",0.000275984392442757,0.021766870007499,0.0179760629501382,"13838/18128/14260/55994/19126/20377/16373/71602/19206/13383",10
"GO:0021537","BP","GO:0021537","telencephalon development","14/479","281/28891",0.00027930254192692,0.021766870007499,0.0179760629501382,"30928/19130/13796/57752/320165/58208/67263/22418/75409/58234/66725/20462/20689/20562",14
"GO:0051403","BP","GO:0051403","stress-activated MAPK cascade","13/479","248/28891",0.000281064318604721,0.021766870007499,0.0179760629501382,"98432/63953/140577/12540/20377/66505/26564/17951/22418/66725/13383/26403/17318",13
"GO:0010959","BP","GO:0010959","regulation of metal ion transport","19/479","461/28891",0.000289772899823668,0.021917598471179,0.0181005413133828,"329152/12287/14683/22065/16498/11941/26557/20840/108737/432442/69563/12289/207911/13383/211482/225642/246317/11554/12766",19
"GO:0007041","BP","GO:0007041","lysosomal transport","9/479","128/28891",0.000293492471158782,0.021917598471179,0.0181005413133828,"228545/74772/72287/14339/20660/75669/16971/12759/100502841",9
"GO:1901889","BP","GO:1901889","negative regulation of cell junction assembly","5/479","36/28891",0.000302648635192662,0.0222048524978195,0.0183377686438989,"24088/19249/16971/22418/208177",5
"GO:0043507","BP","GO:0043507","positive regulation of JUN kinase activity","6/479","56/28891",0.000324075651551786,0.0233669719791305,0.0192974993238005,"13838/26564/22418/21844/14370/26403",6
"GO:0050869","BP","GO:0050869","negative regulation of B cell activation","5/479","37/28891",0.000345209283963707,0.0244570200615661,0.0201977101920507,"16331/20377/57916/12053/94185",5
"GO:0008361","BP","GO:0008361","regulation of cell size","12/479","222/28891",0.000362129080851949,0.0244570200615661,0.0201977101920507,"18096/23945/11941/16534/108737/16971/74370/17755/22418/58234/13640/20562",12
"GO:0046890","BP","GO:0046890","regulation of lipid biosynthetic process","12/479","222/28891",0.000362129080851949,0.0244570200615661,0.0201977101920507,"12334/19130/102635496/15378/20280/75387/11813/26457/12623/216453/74370/20411",12
"GO:0030111","BP","GO:0030111","regulation of Wnt signaling pathway","15/479","323/28891",0.000362586141515327,0.0244570200615661,0.0201977101920507,"18128/24088/140577/260305/20377/12560/207181/16971/14783/18230/26564/72293/22418/66725/21844",15
"GO:0007015","BP","GO:0007015","actin filament organization","19/479","471/28891",0.000377654625477802,0.024999433691598,0.0206456598308875,"19130/14260/24088/12540/12704/232201/14107/71602/17973/109711/18810/17886/58234/13383/208177/12488/260409/245857/20411",19
"GO:0048813","BP","GO:0048813","dendrite morphogenesis","11/479","192/28891",0.000386646429985726,0.024999433691598,0.0206456598308875,"329152/13838/13175/76089/12540/12704/22418/75409/58234/66725/21844",11
"GO:0060071","BP","GO:0060071","Wnt signaling pathway, planar cell polarity pathway","5/479","38/28891",0.000392144885401798,0.024999433691598,0.0206456598308875,"140577/20377/26564/22418/12614",5
"GO:0019216","BP","GO:0019216","regulation of lipid metabolic process","17/479","398/28891",0.000397850173107079,0.024999433691598,0.0206456598308875,"12334/19130/102635496/15378/20280/108099/75387/13666/11813/26457/12623/20660/216453/74370/58208/271221/20411",17
"GO:0061351","BP","GO:0061351","neural precursor cell proliferation","12/479","225/28891",0.000408641844781339,0.024999433691598,0.0206456598308875,"19130/18128/13796/57752/320165/94187/636931/58208/22418/58234/66725/18585",12
"GO:0060560","BP","GO:0060560","developmental growth involved in morphogenesis","14/479","292/28891",0.000410956910408106,0.024999433691598,0.0206456598308875,"18128/14260/13175/18096/319974/13796/23945/20377/16971/17755/22418/21844/13640/20562",14
"GO:0016358","BP","GO:0016358","dendrite development","15/479","327/28891",0.000412472722314744,0.024999433691598,0.0206456598308875,"329152/13838/56508/228880/13175/76089/12540/12704/330222/17755/22418/75409/58234/66725/21844",15
"GO:0046626","BP","GO:0046626","regulation of insulin receptor signaling pathway","7/479","82/28891",0.000429385684254266,0.025405814147085,0.0209812671390133,"434246/19267/20660/17973/117150/14783/20411",7
"GO:0001895","BP","GO:0001895","retina homeostasis","6/479","59/28891",0.000431327786810864,0.025405814147085,0.0209812671390133,"241324/230872/260305/19126/12560/114304",6
"GO:0032970","BP","GO:0032970","regulation of actin filament-based process","17/479","402/28891",0.000445617900282506,0.0258829730414089,0.0213753264740775,"19130/14260/24088/12540/12704/17973/16971/17886/12614/58234/13383/208177/12488/13640/260409/245857/11554",17
"GO:0031098","BP","GO:0031098","stress-activated protein kinase signaling cascade","13/479","261/28891",0.000457567630308211,0.0262129839719032,0.0216478643841563,"98432/63953/140577/12540/20377/66505/26564/17951/22418/66725/13383/26403/17318",13
"GO:0045860","BP","GO:0045860","positive regulation of protein kinase activity","16/479","369/28891",0.00049659092194432,0.0270233673467642,0.0223171155238575,"13838/19130/15378/76089/108099/12444/19882/74370/26564/22418/12759/66725/13383/21844/14370/26403",16
"GO:0031644","BP","GO:0031644","regulation of nervous system process","10/479","167/28891",0.000498919308711939,0.0270233673467642,0.0223171155238575,"56508/228880/13666/23945/216749/58234/66725/94185/108013/246317",10
"GO:0090162","BP","GO:0090162","establishment of epithelial cell polarity","5/479","40/28891",0.00050028833182798,0.0270233673467642,0.0223171155238575,"12540/14107/360013/22418/20469",5
"GO:0010818","BP","GO:0010818","T cell chemotaxis","4/479","23/28891",0.00051449403838285,0.0270233673467642,0.0223171155238575,"108737/22418/18810/12766",4
"GO:0045216","BP","GO:0045216","cell-cell junction organization","12/479","231/28891",0.000516921001540723,0.0270233673467642,0.0223171155238575,"13838/15378/12540/260305/233765/16373/12564/12560/12554/18810/13383/238829",12
"GO:0010812","BP","GO:0010812","negative regulation of cell-substrate adhesion","6/479","61/28891",0.000516946290708068,0.0270233673467642,0.0223171155238575,"18128/230959/16971/12053/208177/13640",6
"GO:0019748","BP","GO:0019748","secondary metabolic process","6/479","61/28891",0.000516946290708068,0.0270233673467642,0.0223171155238575,"266645/76089/13085/12560/22418/22293",6
"GO:0001822","BP","GO:0001822","kidney development","15/479","336/28891",0.000546641243666731,0.0282228849507935,0.023307731260176,"13838/18128/14260/55994/214133/75691/19126/20377/16373/71602/19206/22418/22270/66725/13383",15
"GO:0003230","BP","GO:0003230","cardiac atrium development","5/479","41/28891",0.000562086941233566,0.0283984387872617,0.0234527115359072,"19130/18128/228788/22761/22418",5
"GO:0046883","BP","GO:0046883","regulation of hormone secretion","15/479","337/28891",0.000563622768852874,0.0283984387872617,0.0234527115359072,"11480/56508/15378/14683/15107/18096/75387/233079/20377/16971/74370/12289/17886/21844/13640",15
"GO:0021544","BP","GO:0021544","subpallium development","4/479","24/28891",0.000609354823860705,0.0302525187291733,0.0249838943719745,"58208/67263/75409/58234",4
"GO:0048041","BP","GO:0048041","focal adhesion assembly","7/479","87/28891",0.000614888592056368,0.0302525187291733,0.0249838943719745,"14260/16971/109711/17886/208177/13640/20411",7
"GO:0032872","BP","GO:0032872","regulation of stress-activated MAPK cascade","11/479","206/28891",0.000696617777167002,0.0331256840448691,0.0273566838710301,"98432/63953/140577/12540/20377/66505/17951/22418/13383/26403/17318",11
"GO:0090175","BP","GO:0090175","regulation of establishment of planar polarity","5/479","43/28891",0.000702662601134686,0.0331256840448691,0.0273566838710301,"140577/20377/26564/22418/12614",5
"GO:0042438","BP","GO:0042438","melanin biosynthetic process","4/479","25/28891",0.00071598324964743,0.0331256840448691,0.0273566838710301,"76089/12560/22418/22293",4
"GO:0061162","BP","GO:0061162","establishment of monopolar cell polarity","4/479","25/28891",0.00071598324964743,0.0331256840448691,0.0273566838710301,"12540/14107/17755/22418",4
"GO:0050768","BP","GO:0050768","negative regulation of neurogenesis","10/479","175/28891",0.000717995643452052,0.0331256840448691,0.0273566838710301,"63953/19130/18128/76089/69743/18096/12704/20660/22418/20562",10
"GO:0007164","BP","GO:0007164","establishment of tissue polarity","6/479","65/28891",0.000727408140070931,0.0331256840448691,0.0273566838710301,"15378/140577/20377/26564/22418/12614",6
"GO:0051222","BP","GO:0051222","positive regulation of protein transport","15/479","346/28891",0.00073779571732189,0.0331256840448691,0.0273566838710301,"102635496/56508/14683/24088/12540/74772/18096/16534/233079/20660/16971/360013/12289/17886/12488",15
"GO:1900076","BP","GO:1900076","regulation of cellular response to insulin stimulus","7/479","90/28891",0.000753557261663045,0.0331256840448691,0.0273566838710301,"434246/19267/20660/17973/117150/14783/20411",7
"GO:0016055","BP","GO:0016055","Wnt signaling pathway","18/479","460/28891",0.000757933726120084,0.0331256840448691,0.0273566838710301,"18128/24088/140577/260305/20377/12560/207181/16971/14783/18230/26564/72293/22418/12614/66725/67488/21844/14370",18
"GO:0046627","BP","GO:0046627","negative regulation of insulin receptor signaling pathway","5/479","44/28891",0.000782067207504465,0.0331256840448691,0.0273566838710301,"434246/19267/17973/117150/14783",5
"GO:0198738","BP","GO:0198738","cell-cell signaling by wnt","18/479","462/28891",0.000796386468582574,0.0331256840448691,0.0273566838710301,"18128/24088/140577/260305/20377/12560/207181/16971/14783/18230/26564/72293/22418/12614/66725/67488/21844/14370",18
"GO:0070302","BP","GO:0070302","regulation of stress-activated protein kinase signaling cascade","11/479","210/28891",0.00081595501664955,0.0331256840448691,0.0273566838710301,"98432/63953/140577/12540/20377/66505/17951/22418/13383/26403/17318",11
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization","18/479","463/28891",0.000816232043118997,0.0331256840448691,0.0273566838710301,"13838/228880/76089/320840/12540/230872/319974/23965/23854/17973/54712/16971/26564/17755/22418/21844/13640/260409",18
"GO:0030900","BP","GO:0030900","forebrain development","17/479","425/28891",0.000827782555985939,0.0331256840448691,0.0273566838710301,"30928/19130/18128/13175/76089/13796/57752/320165/58208/67263/22418/75409/58234/66725/20462/20689/20562",17
"GO:0030859","BP","GO:0030859","polarized epithelial cell differentiation","4/479","26/28891",0.000835158043070291,0.0331256840448691,0.0273566838710301,"12540/230959/14107/22418",4
"GO:0061339","BP","GO:0061339","establishment or maintenance of monopolar cell polarity","4/479","26/28891",0.000835158043070291,0.0331256840448691,0.0273566838710301,"12540/14107/17755/22418",4
"GO:2000050","BP","GO:2000050","regulation of non-canonical Wnt signaling pathway","4/479","26/28891",0.000835158043070291,0.0331256840448691,0.0273566838710301,"140577/20377/22418/21844",4
"GO:0033674","BP","GO:0033674","positive regulation of kinase activity","17/479","426/28891",0.000849349567319978,0.0331256840448691,0.0273566838710301,"13838/19130/15378/76089/108099/13846/12444/19882/74370/26564/22418/12759/66725/13383/21844/14370/26403",17
"GO:0032956","BP","GO:0032956","regulation of actin cytoskeleton organization","15/479","351/28891",0.000852950928086359,0.0331256840448691,0.0273566838710301,"19130/14260/24088/12540/12704/17973/16971/12614/58234/13383/208177/12488/13640/260409/245857",15
"GO:1901016","BP","GO:1901016","regulation of potassium ion transmembrane transporter activity","6/479","67/28891",0.000854776560908612,0.0331256840448691,0.0273566838710301,"108737/432442/12289/13383/225642/246317",6
"GO:0062012","BP","GO:0062012","regulation of small molecule metabolic process","16/479","389/28891",0.000871294435799076,0.0331256840448691,0.0273566838710301,"266645/19130/102635496/15378/20280/108099/75387/13666/11813/12623/18799/216453/74370/17886/107477/20411",16
"GO:0072001","BP","GO:0072001","renal system development","15/479","352/28891",0.00087772139189614,0.0331256840448691,0.0273566838710301,"13838/18128/14260/55994/214133/75691/19126/20377/16373/71602/19206/22418/22270/66725/13383",15
"GO:0021953","BP","GO:0021953","central nervous system neuron differentiation","11/479","212/28891",0.000881698476389795,0.0331256840448691,0.0273566838710301,"13838/19130/13175/76089/18096/13796/11941/58208/19206/67263/58234",11
"GO:0032959","BP","GO:0032959","inositol trisphosphate biosynthetic process","3/479","12/28891",0.000891284606353956,0.0331256840448691,0.0273566838710301,"20280/18799/17886",3
"GO:0048845","BP","GO:0048845","venous blood vessel morphogenesis","3/479","12/28891",0.000891284606353956,0.0331256840448691,0.0273566838710301,"19130/18128/13846",3
"GO:0051964","BP","GO:0051964","negative regulation of synapse assembly","3/479","12/28891",0.000891284606353956,0.0331256840448691,0.0273566838710301,"24088/19249/22418",3
"GO:0071635","BP","GO:0071635","negative regulation of transforming growth factor beta production","3/479","12/28891",0.000891284606353956,0.0331256840448691,0.0273566838710301,"18550/12560/12488",3
"GO:1903532","BP","GO:1903532","positive regulation of secretion by cell","16/479","390/28891",0.000895074676487376,0.0331256840448691,0.0273566838710301,"102635496/12287/11480/56508/14683/24088/74772/18096/16534/233079/18799/16971/360013/12289/17886/12488",16
"GO:0006816","BP","GO:0006816","calcium ion transport","18/479","469/28891",0.00094443277609762,0.0337212511296107,0.0278485300300165,"12287/22065/11941/16534/26557/20840/18799/69563/216749/76137/26946/12294/12289/207911/211482/226025/11554/12766",18
"GO:0032373","BP","GO:0032373","positive regulation of sterol transport","5/479","46/28891",0.000960718963725287,0.0337212511296107,0.0278485300300165,"20280/12623/67484/16971/19206",5
"GO:0032376","BP","GO:0032376","positive regulation of cholesterol transport","5/479","46/28891",0.000960718963725287,0.0337212511296107,0.0278485300300165,"20280/12623/67484/16971/19206",5
"GO:0006582","BP","GO:0006582","melanin metabolic process","4/479","27/28891",0.000967660444831333,0.0337212511296107,0.0278485300300165,"76089/12560/22418/22293",4
"GO:0044550","BP","GO:0044550","secondary metabolite biosynthetic process","4/479","27/28891",0.000967660444831333,0.0337212511296107,0.0278485300300165,"76089/12560/22418/22293",4
"GO:0001894","BP","GO:0001894","tissue homeostasis","13/479","283/28891",0.000968557224563138,0.0337212511296107,0.0278485300300165,"16331/18128/241324/14683/230872/723848/260305/19126/12560/23854/68275/114304/11732",13
"GO:0060249","BP","GO:0060249","anatomical structure homeostasis","13/479","283/28891",0.000968557224563138,0.0337212511296107,0.0278485300300165,"16331/18128/241324/14683/230872/723848/260305/19126/12560/23854/68275/114304/11732",13
"GO:0006112","BP","GO:0006112","energy reserve metabolic process","7/479","94/28891",0.000975674650091557,0.0337212511296107,0.0278485300300165,"14683/108099/14783/271221/19309/20411/11554",7
"GO:0030072","BP","GO:0030072","peptide hormone secretion","14/479","321/28891",0.0010343560801441,0.03505799622011,0.028952474413698,"56508/15378/14683/15107/18096/75387/233079/20377/16971/74370/12289/17886/21844/13640",14
"GO:1901379","BP","GO:1901379","regulation of potassium ion transmembrane transport","7/479","95/28891",0.00103852312679709,0.03505799622011,0.028952474413698,"16498/108737/432442/12289/13383/225642/246317",7
"GO:0040013","BP","GO:0040013","negative regulation of locomotion","15/479","358/28891",0.00103950060528303,0.03505799622011,0.028952474413698,"13838/63953/18128/15378/228880/18600/20377/16971/109934/217835/22418/17886/208177/20562/170942",15
"GO:0046328","BP","GO:0046328","regulation of JNK cascade","9/479","153/28891",0.00106808799621462,0.0357339520013565,0.0295107091838331,"98432/63953/140577/12540/20377/66505/17951/22418/26403",9
"GO:0010721","BP","GO:0010721","negative regulation of cell development","14/479","323/28891",0.00109726325199886,0.0361437900323308,0.0298491719137349,"16331/63953/19130/18128/76089/69743/18096/12704/20377/22761/20660/22418/12053/20562",14
"GO:0045834","BP","GO:0045834","positive regulation of lipid metabolic process","10/479","185/28891",0.00109762346583118,0.0361437900323308,0.0298491719137349,"12334/15378/20280/75387/11813/26457/12623/216453/74370/20411",10
"GO:1904951","BP","GO:1904951","positive regulation of establishment of protein localization","15/479","362/28891",0.00116078572598322,0.0378658587923562,0.0312713339620229,"102635496/56508/14683/24088/12540/74772/18096/16534/233079/20660/16971/360013/12289/17886/12488",15
"GO:0045197","BP","GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity","5/479","48/28891",0.00116802864280582,0.0378658587923562,0.0312713339620229,"241324/12540/14107/22418/13383",5
"GO:0048588","BP","GO:0048588","developmental cell growth","13/479","291/28891",0.0012458771421538,0.0397873027665026,0.032858149054065,"13175/18096/319974/13796/23945/16971/17268/17755/22418/21844/13640/20562/11554",13
"GO:0045685","BP","GO:0045685","regulation of glial cell differentiation","7/479","98/28891",0.00124632631812813,0.0397873027665026,0.032858149054065,"13838/63953/18128/24088/69743/18096/94185",7
"GO:0007215","BP","GO:0007215","glutamate receptor signaling pathway","5/479","49/28891",0.00128327150769972,0.0400495630238822,0.0330747354026926,"14807/26557/117148/58234/21844",5
"GO:0035137","BP","GO:0035137","hindlimb morphogenesis","5/479","49/28891",0.00128327150769972,0.0400495630238822,0.0330747354026926,"18128/14260/14683/19206/20689",5
"GO:1900077","BP","GO:1900077","negative regulation of cellular response to insulin stimulus","5/479","49/28891",0.00128327150769972,0.0400495630238822,0.0330747354026926,"434246/19267/17973/117150/14783",5
